Country ,Continent,female literacy,fertility,population
Chine,ASI,90.5,1.769,1324655000.00
Inde,ASI,50.8,2.682,1139964931.64
USA,NAM,99,2.077,304060000.00
Indonésie,ASI,88.8,2.132,227345082.00
Brésil,LAT,90.2,1.827,191971506.00
Pakistan,ASI,40,3.872,166111487.12
Bangladesh,ASI,49.8,2.288,160000128.00
Nigéria,AF,48.8,5.173,151212254.00
Fédération de Russie,EUR,99.4,1.393,141950000.00
Japan,ASI,99,1.262,127704000.00
Mexique,LAT,91.5,2.156,106350433.68
Philippines,ASI,93.9,3.026,90348437.00
Viet Nam,ASI,90.2,2.033,86210781.00
Germany,EUR,99,1.324,82110097.00
Egypte,AF,57.8,2.816,81527172.00
Ethiopie,AF,22.8,5.211,80713434.00
Turquie,ASI,81.3,2.1,73914260.00
"Iran, République islamique d'",ASI,77.2,1.781,71956321.69
Thaïlande,ASI,91.5,1.822,67386383.00
Rép. Démocratique du Congo,AF,56.1,5.908,64256635.00
France,EUR,99,1.881,62277432.00
UK,EUR,99,1.852,61414062.00
Italie,EUR,98.5,1.39,59832179.00
Myanmar,ASI,89.2,2.281,49563019.00
Afrique du Sud,AF,88.1,2.505,48687000.00
South Korea,ASI,96.6,1.224,48607000.00
Ukraine,EUR,99.6,1.361,46258200.00
Espagne,EUR,96.9,1.468,45555716.00
Colombie,LAT,93.4,2.404,45012096.00
République-Unie de Tanzanie,AF,66.3,5.52,42483923.00
Soudan,AF,59.6,4.058,41347723.00
Argentine,LAT,97.7,2.223,39882980.00
Kenya,AF,82.8,4.859,38765312.00
Pologne,EUR,99.3,1.267,38125759.00
Algérie,AF,63.9,2.342,34373426.00
Canada,NAM,99,1.579,33311400.00
Ouganda,AF,66.8,6.254,31656865.00
Maroc,AF,44.1,2.334,31605616.00
Iraq,ASI,69.2,3.961,30711152.29
Afghanistan,ASI,12.6,6.505,29021099.00
Pérou,LAT,84.6,2.53,28836700.00
Népal,ASI,45.4,2.823,28809526.00
Venezuela,LAT,94.9,2.498,27935000.00
